"明治ミルクチョコレート 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ブラックチョコレート 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、植物油脂、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ハイミルクチョコレート 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、カカオマス、ココアバター、植物油脂、脱脂粉乳／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ホワイトチョコレート 40g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、ココアバター、植物油脂、脱脂粉乳／乳化剤、香料、（一部に乳成分・大豆を含む）
"明治ストロベリーチョコレート 46g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、全粉乳、乳糖、カカオマス、ココアバター、クリーミングパウダー、いちごパウダー、脱脂粉乳、りんご果汁パウダー／トレハロース、乳化剤、香料、酸味料、紅麹色素、（一部に乳成分・大豆・りんごを含む）
"明治ミルクチョコレート BOX （26枚） | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ブラックチョコレート BOX （26枚） | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、植物油脂、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ハイミルクチョコレート BOX （26枚） | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、カカオマス、ココアバター、植物油脂、脱脂粉乳／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ストロベリーチョコレート BOX （26枚） | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、全粉乳、乳糖、カカオマス、ココアバター、クリーミングパウダー、いちごパウダー、脱脂粉乳、りんご果汁パウダー／トレハロース、乳化剤、香料、酸味料、紅麹色素、（一部に乳成分・大豆・りんごを含む）
"明治抹茶チョコレート BOX （26枚） | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、全粉乳、乳糖、カカオマス、ココアバター、まっ茶、クリーミングパウダー、脱脂粉乳／トレハロース、乳化剤、香料、着色料（クチナシ、フラボノイド）、（一部に乳成分・大豆を含む）
"明治ミルクチョコレート CUBIE 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"明治ブラックチョコレート CUBIE 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、植物油脂、全粉乳、ココアバター、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"明治ハイミルクチョコレート CUBIE 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、カカオマス、ココアバター、植物油脂、脱脂粉乳、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"明治ストロベリー CUBIE 28g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、全粉乳、カカオマス、乳糖、ココアバター、いちごパウダー、練乳パウダー、クリーミングパウダー、脱脂粉乳、還元水あめ、りんご果汁パウダー／乳化剤、トレハロース、香料、光沢剤、酸化防止剤（V.C、V.E）、酸味料、紅麹色素、（一部に乳成分・大豆・りんごを含む）
"明治ミルクチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ブラックチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、植物油脂、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ストロベリーチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、全粉乳、乳糖、カカオマス、ココアバター、クリーミングパウダー、いちごパウダー、脱脂粉乳、りんご果汁パウダー／トレハロース、乳化剤、香料、酸味料、紅麹色素、（一部に乳成分・大豆・りんごを含む）
"明治ミルクチョコレート袋 128g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ミルクチョコレートビッグパック 268g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター／レシチン、香料、（一部に乳成分・大豆を含む）
"明治ハイミルクチョコレートビッグパック 268g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、カカオマス、ココアバター、植物油脂、脱脂粉乳／レシチン、香料、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートベネズエラカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター／乳化剤、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートベネズエラカカオ55 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター、全粉乳、脱脂粉乳／乳化剤、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートブラジルカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター／乳化剤、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートブラジルカカオ55 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター、全粉乳、脱脂粉乳／乳化剤、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートペルーカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター／乳化剤、（一部に乳成分・大豆を含む）
"明治 ザ・チョコレートドミニカ共和国カカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス（国内製造）、砂糖、ココアバター／乳化剤、（一部に乳成分・大豆を含む）
"アーモンドチョコレート 88g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造）、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・アーモンド・大豆を含む）
"アーモンドチョコレート大箱 173g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・大豆を含む）
"アーモンドチョコレートストロベリー 47g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",アーモンド、砂糖、ココアバター、乳糖、植物油脂、全粉乳、脱脂粉乳、いちごチップ、バター加工品、いちごパウダー、還元水あめ／乳化剤、酸味料、光沢剤、香料、着色料（紅麹、フラボノイド）、酸化防止剤（V.C、V.E）、（一部に乳成分・アーモンド・大豆を含む）
"アーモンドチョコレート抹茶 79g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",アーモンド、砂糖、植物油脂、乳糖、全粉乳、ココアバター、まっ茶、脱脂粉乳、還元水あめ／乳化剤、光沢剤、酸化防止剤（V.C、V.E、ローズマリー抽出物）、着色料（クチナシ、フラボノイド）、香料、（一部に乳成分・大豆を含む）
"アーモンドチョコレートビッグパック 184g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・大豆を含む）
"マカダミアチョコレート 9粒 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、マカダミアナッツ、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、クリーミングパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
"マカダミアチョコレート大箱 20粒 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、マカダミアナッツ、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、クリーミングパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
